K_Tr_AB_nCi_3_M25(M8)_SS7_T_KA_a-e-v_MID,N3_TrB_AB_nCi_3_M26(M11)_MP2_T_LGA[0.0-1.0]_r-p_MID,P2_B_AB_nCi_2_NS3_H_T_LGP[2-4]_c-h_MAS,SD_B_AB_Ci(2.0;-2.0)_2_MP7_H_n_X_LGP[4-6]_e-p_MAS,GV[5]_K_Tr_AB_nCi_3_M22(M1)_NS1_T_KA_m-a-c_MID,AC[5]_K_TrC_AB_nCi_3_M21(M1)_NS4_C_KA_m_MID,AC[3]_N2_Tr_AB_nCi_3_M20(M13)_MP2_C_KA_r-p-c_MID,N3_B_AB_nCi_2_SS8_C_LGP[1]_r-c_MAS,Q2_B_AB_nCi_2_SS1_T_LGP[1;2;6]_c-p_MAS,GV[6]_N2_Tr_AB_nCi_3_M20(M13)_MP4_T_LG3L[1-2]_LGL[1-2]_v-p-c_MID,MX_B_AB_nCi_2_SS6_T_LGP[1;2;6]_r-c_MAS,pIC50
2.366438665,0.476510066,1.297098258,0.020015668,2.066165233,13.24208578,0.006724963,0.053177533,-0.003705392,0.046459936,0.205100336,7.090298531
1.358605865,0.424059099,1.321036535,0.019995594,1.547970398,18.46287764,0.005925467,0.053021624,-0.006300685,0.047772661,0.20510039,6.972599675
0.726748131,0.352873178,1.363376298,0.016774996,1.750199123,21.10184425,0.004718144,0.076769691,0.001086453,0.043104342,0.267239558,6.549747061
4.573902579,0.551650352,1.554115462,0.013690294,20.32878632,8.083060206,0.00103482,0.061094225,0.080152912,0.004412305,0.228023621,3.403402904
3.507735792,0.539491554,1.573837721,0.014490182,10.19407109,8.767441052,8.39E-04,0.061716873,0.080154516,0.0456847,0.228023905,4.801342913
3.687845394,0.534718338,1.568826667,0.013468982,8.960118333,35.01349148,8.13E-04,0.061300717,0.080153714,0.025478075,0.228023625,4.217766327
3.956339928,0.540948728,1.531623608,0.013951432,11.42031435,8.769433997,9.27E-04,0.061635247,0.080165605,0.039581779,0.228023791,4.601770558
3.987109565,0.536983003,1.539936711,0.01316058,8.80264921,4.99556437,9.04E-04,0.061293146,0.080159259,0.035504258,0.228023624,4.362010219
4.278151434,0.537154469,1.533874822,0.012986428,24.39348614,36,9.58E-04,0.061213355,0.080157652,0.018742885,0.228023621,3.819826319
4.543238988,0.516748479,1.472072026,0.013213587,17.30840632,8.715041767,0.001520457,0.061470156,0.080158676,0.030754667,0.228023582,3.581671083
