K_Tr_AB_nCi_3_M25(M8)_SS7_T_KA_a-e-v_MID,N3_TrB_AB_nCi_3_M26(M11)_MP2_T_LGA[0.0-1.0]_r-p_MID,P2_B_AB_nCi_2_NS3_H_T_LGP[2-4]_c-h_MAS,SD_B_AB_Ci(2.0;-2.0)_2_MP7_H_n_X_LGP[4-6]_e-p_MAS,GV[5]_K_Tr_AB_nCi_3_M22(M1)_NS1_T_KA_m-a-c_MID,AC[5]_K_TrC_AB_nCi_3_M21(M1)_NS4_C_KA_m_MID,AC[3]_N2_Tr_AB_nCi_3_M20(M13)_MP2_C_KA_r-p-c_MID,N3_B_AB_nCi_2_SS8_C_LGP[1]_r-c_MAS,Q2_B_AB_nCi_2_SS1_T_LGP[1;2;6]_c-p_MAS,GV[6]_N2_Tr_AB_nCi_3_M20(M13)_MP4_T_LG3L[1-2]_LGL[1-2]_v-p-c_MID,MX_B_AB_nCi_2_SS6_T_LGP[1;2;6]_r-c_MAS,pIC50
3.549588445,0.29890063,1.32344465,0.024649064,6.900520189,9.677951362,0.008018467,-0.025148173,0.014967717,0.023061202,0.470700411,6.978810701
3.483874295,0.298776188,1.326797742,0.024539873,27.41551286,39,0.008270647,-0.025574412,0.013985634,0.023957057,0.470700408,6.962573502
4.330128751,0.26397509,1.220438463,0.024274564,39.89216417,40.99999875,0.012382602,-0.023497968,0.044214796,0.018524737,0.470700364,7.036212173
-0.227318524,0.453929151,1.090916168,0.019513761,3.154355833,26.07384538,0.01275729,0.053241759,0.085655612,0.029367282,0.360642618,4.750190391
-0.428004801,0.446299228,1.047537819,0.018446529,18.70619171,18.83636054,0.013073068,0.05324176,0.052861672,0.03411623,0.363039967,4.693709035
-0.552240651,0.435340189,1.008958615,0.017533457,3.127687589,19.89283779,0.012803305,0.05324176,0.030938518,0.036978133,0.363408629,4.622096413
-0.745969275,0.492111641,1.103685293,0.015866945,8.942536635,36.99999383,0.005231397,0.060798121,0.119335406,0.088473172,0.253418744,5.836670875
-0.179968467,0.502121323,1.080722537,0.015421393,25.02650076,38,0.005160854,0.060798636,0.054430251,0.092352287,0.253418733,5.010925791
-0.782226546,0.435988601,1.030606482,0.017990692,4.923630115,33.99993479,0.002582732,0.041577066,0.120375388,0.017183119,0.251752147,6.99473903
-0.44380373,0.456816449,1.011860104,0.017683221,4.991586986,11.27124569,0.002465175,0.041643055,0.110160924,0.012170958,0.25292875,5.883247017
-1.006046644,0.465890496,1.009926973,0.017331847,3.778454664,32.22960533,0.003927229,0.041643055,0.110160924,0.019122555,0.25292875,7.653280378
-1.135424551,0.454943473,0.988924956,0.01673591,10.26498794,36,0.002185191,0.041663676,0.092647399,0.016345185,0.253215754,6.33568128
-1.380092397,0.450398765,0.914446003,0.014911459,5.079149687,13.62246545,0.001782232,0.041669506,0.014099322,0.015346674,0.253314559,5.192549539
0.889712412,0.449729178,1.121966817,0.020648345,1.323297055,27.68804333,0.011186127,0.050653673,0.11652373,0.021778193,0.302635898,6.663040215
-0.298805841,0.448604343,1.075081484,0.019374465,1.2872707,34.33526827,0.01268803,0.05065767,0.090172522,0.027990383,0.308829379,7.528341641
1.240087075,0.630831844,1.41042528,0.01604689,18.25609967,11.78704506,0.002372119,-0.023222565,0.018469398,0.015767342,0.280882759,4.422037395
1.583692972,0.657071991,1.457063786,0.01709603,14.34588966,10.42430205,0.001803016,-0.02503563,0.020433566,0.048262692,0.280882759,5.977434172
1.84809284,0.658033406,1.415027408,0.016734199,16.43660871,10.42430117,0.00201232,-0.025521529,0.012878618,0.041906935,0.280882759,5.693003438
1.961045534,0.655343292,1.423549948,0.016258916,5.963307025,10.08440092,0.001945877,-0.027368589,0.019881395,0.037344675,0.280882759,5.687399561
1.949774738,0.654861493,1.427004813,0.016168374,16.99892822,41,0.002007222,-0.027761582,0.019596966,0.022990795,0.280882759,4.247257748
2.025535445,0.658339348,1.399215206,0.016709342,27.50578875,10.42430079,0.002157407,-0.025702975,0.00864874,0.036537473,0.280882759,5.740645073
2.006246139,0.655439215,1.417560067,0.016153123,29.70306053,41,0.002123619,-0.027762532,0.01394088,0.019823212,0.280882759,4.095336739
2.611359625,0.645944993,1.362058434,0.016536091,14.19410706,10.41781362,0.003382836,-0.026447799,0.001735012,0.023394228,0.280882759,5.152982902
1.768090485,0.654493279,1.386682578,0.016552211,24.70425542,10.08435063,0.001916517,-0.027440536,0.001735012,0.007494751,0.280882759,4.318469329
2.01499128,0.653826879,1.389484054,0.016462067,20.65182051,40.99999996,0.00198325,-0.027767891,0.001735012,0.00593906,0.280882759,4.049678967
1.942487929,0.643292807,1.382379917,0.015627349,22.28179328,44,3.76E-04,-0.026685284,0.020433777,0.003291602,0.280878116,3.842460632
2.706320319,0.676832305,1.419931457,0.016449609,6.296578823,42,4.00E-04,-0.02715181,0.02043377,0.003310075,0.280878116,5.289459552
2.800380187,0.678634749,1.389231949,0.016288709,15.00873333,42,4.09E-04,-0.02715441,0.019694096,0.003312578,0.280878116,4.121158537
2.850005862,0.679151534,1.37988149,0.016275315,13.69559529,42,4.15E-04,-0.027155364,0.01400591,0.003313187,0.280878116,4.034806141
-0.394856335,0.629620396,1.365518681,0.024765593,13.75492005,5.721898494,4.06E-04,0.008046395,0.081794955,0.010698947,0.360530937,5.969747343
-0.067252481,0.571967626,1.400979798,0.01989668,18.23508663,19.71720269,5.04E-04,0.065341224,0.06776626,0.010579411,0.354796075,5.199282922
0.531725594,0.584144468,1.340903925,0.023263105,7.906660938,9.786707433,4.91E-04,-0.022270782,0.067891598,0.010606607,0.354563372,4.317551913
0.789350332,0.610215217,1.362932491,0.022874299,14.74515863,9.534277677,4.64E-04,-0.02070927,0.081227445,0.01059948,0.36537129,4.381033457
3.65E-04,0.609774874,1.402919932,0.022618914,2.686658796,26.99495852,4.61E-04,0.034259685,0.081351801,0.010601409,0.345824937,5.947470949
-0.046536415,0.642505433,1.393636743,0.024760169,8.033920751,6.901872253,4.06E-04,0.008047073,0.015654129,0.010681754,0.371365195,4.539230983
1.905803499,0.540826933,1.327764089,0.019208028,26.20692165,32.21020309,5.13E-04,0.009494096,-0.125565533,0.010258627,0.360485611,4.372283104
1.069928823,0.662086839,1.48995763,0.032303265,2.917266642,20.30685814,2.05E-04,0.008038039,0.036763832,0.011315308,0.406899514,5.947470949
3.042594093,0.588974881,1.370895126,0.022034657,7.874632932,7.741113494,3.45E-04,0.008046221,0.081324737,0.010568468,0.353155608,5.68029922
1.505210916,0.592549631,1.19847591,0.02289524,7.255184516,27.99991769,4.37E-04,0.008639796,0.032580813,0.010604654,0.364458999,5.635717088
-0.203643223,0.627661905,1.320350067,0.024450767,7.160538233,25.99992548,4.24E-04,0.008029434,0.067739935,0.010668855,0.359747231,4.447783866
0.228775219,0.627223466,1.42987832,0.023593374,5.148844996,4.057239255,3.85E-04,0.008046395,0.081005589,0.010653391,0.361257461,6.018052023
0.193629815,0.629114005,1.427046947,0.025280032,5.056068584,6.171621147,3.95E-04,0.008045042,0.06771413,0.010678498,0.364785907,5.540930768
-0.290757037,0.443899993,1.402306965,0.027876001,3.449501657,28.43095266,5.50E-05,0.008030677,0.050120829,0.011286343,0.338961847,4.49799255
2.264974883,0.4840144,1.480779797,0.023006263,15.62000008,18,0.001278786,0.063621174,0.036388323,0.010816822,0.246024312,5.956244873
0.718060907,0.403751631,1.207117129,0.021357511,5.318636064,22,4.19E-04,0.064415856,0.004048028,0.007738996,0.24520724,6.065389342
5.790353866,0.525926466,1.271651291,0.022707758,2.96501882,9.912755687,4.18E-04,0.033546182,0.001897561,2.23E-05,0.193214588,5.25111456
-0.748710046,0.182705535,0.969656574,0.03094342,22.11050328,26.8578024,0.002508315,0.015127322,-0.00380038,0.002160463,0.368193269,3.557065792
-1.149911485,0.236500728,0.894932256,0.028946094,9.751689192,26.53672069,0.002291721,0.014730096,-0.010671861,0.016358813,0.36794754,3.755042893
-1.3295987,0.228090677,0.888249989,0.029256666,12.45356288,28.9527494,0.002368755,0.014579437,-0.005978273,0.020891839,0.367772476,3.085339569
-1.006382417,0.21525044,1.032878972,0.026874122,6.258733798,27.86246375,0.00442118,0.014750953,0.029086549,0.052611652,0.367983147,4.100206847
-0.939889965,0.215549709,0.945046701,0.027691907,4.88582261,29.36940526,0.004779109,0.014689335,0.013279433,0.066941904,0.367920225,4.037914919
-0.928882604,0.201277134,0.965205856,0.025834947,7.382411436,31.37592838,0.003874218,-0.02362182,0.028068192,0.060947512,0.367893347,3.694982004
-1.130383379,0.222011667,1.07285274,0.027667355,5.326261467,27.86253,0.00444855,0.01475023,0.025954844,0.052798615,0.367980616,3.532998999
-1.113451979,0.31399929,0.944789022,0.03129363,9.226236215,16.30596507,0.00751006,0.014646403,-0.010623708,0.014941651,0.310770565,3.1755162
-1.266732086,0.361464423,0.958393556,0.029400263,8.462091853,16.30596284,0.004801663,0.014660244,0.005533427,0.011790668,0.311179403,3.354184882
-0.880731114,0.284790537,1.085321295,0.029636712,6.192939646,17.43703025,0.003301475,0.014659917,0.035321445,0.021019332,0.310469115,3.499770388
-0.868212437,0.273257958,1.018932384,0.0274933,5.586262027,18.94366743,0.003295337,-0.023653698,0.031939691,0.009269756,0.3101761,4.210278306
-1.130734912,0.296943298,1.138838678,0.029752828,8.284089778,16.30596251,0.00323676,0.014666659,0.038032228,0.016049731,0.311740513,3.672620629
2.859245255,0.450163329,0.924457032,0.019731339,2.946690127,42.99972404,0.006948059,-0.001640012,0.013646201,0.009747314,0.297640661,5.148130399
3.785908374,0.377722972,0.915152667,0.019712301,2.51178582,36.27421951,0.00697878,-0.001460696,0.013649262,0.009699328,0.297615881,3.486072478
2.979464128,0.445379354,0.924069438,0.019733872,2.48876322,43.99954497,0.007011279,-0.001561496,0.013647221,0.009758539,0.297635339,4.936041487
2.582438703,0.435015773,0.980013233,0.018639395,1.690160636,18.58406028,0.006820984,-0.021336678,0.015262305,0.009715857,0.297639912,4.044200043
2.940672566,0.386619935,0.950804402,0.021206064,-0.415284879,34.85137801,0.007982216,-9.49E-04,0.0154585,0.009283978,0.297732965,3.247055704
2.909543865,0.414174995,0.942216986,0.019007514,29.7642638,46.91156056,0.006276336,-0.019241575,0.014335857,0.01426184,0.295910459,3.386369565
3.364661936,0.403204832,0.9901537,0.021089702,7.460015269,8.812434877,0.006644021,-9.85E-04,0.001423312,0.016028525,0.29613786,3.827445716
2.439478815,0.432306049,0.95709138,0.020108602,7.665902794,44.99992635,0.006458444,-0.001651785,0.014310303,0.015987055,0.29613327,4.442773596
